sumtime,abscissa,total,meanv,meanv1,meanv2,meanv3,meana,meana1,meana2,meana3,standardv,standarda,label
818,98,30,194.3797530756,541.1554485342,31.9748814559,53.2044299201,12267.2961658066,32478.1411676849,3856.6851154903,3193.1280288683,253.6454672898,15609.9160098069,1
952,106,52,112.4911271169,237.3462852633,80.5507497116,19.5763463757,6836.1099685579,14239.8820241028,4804.5800163587,1463.8678652122,128.1420406066,7952.9067548979,0
2757,44,79,159.2239937092,187.1397879366,235.2766070957,55.2555860952,11050.9275531122,13816.5947243440,15756.0983508606,3580.0895841319,150.3505128462,14087.1933183750,1
3204,78,174,81.1866600813,101.6455289410,77.3622096939,67.4008963487,4985.3462753945,6093.8043363748,5030.2058471484,4006.9530733757,69.7934551838,4585.7790736566,0
1013,230,56,252.6870276891,504.8214993068,198.3325813047,68.9451706609,15849.1056871171,32009.2695067983,12097.0948287015,4321.4585973581,216.3302451620,15049.9242702087,1
652,55,37,90.9310398136,189.3246187364,60.8125194522,22.6559812522,6395.9499436068,11344.9999644012,6546.3875614698,1296.4623049495,93.5475450558,9738.2210322606,1
881,89,46,116.1882385022,206.9584500467,102.9929193900,38.6133460699,7054.6369514564,12661.6988571028,6206.2015188247,2296.0104784416,98.1669185415,6171.0641775235,1
738,84,40,259.4336064472,678.5202542555,78.5608345902,21.2197304957,15788.7336880010,41503.8120263188,4599.3821615289,1263.0068761554,383.7537195011,23381.5629907898,0
567,100,24,65.8722877535,160.1215047422,25.2342316237,31.0817805383,3829.6608334575,9472.4539346665,1215.3275637011,1895.3898115642,66.0955576385,4019.2090732672,0
501,66,24,150.7837539133,405.0769064010,52.0658263305,38.2896015549,8812.5533653998,23497.1146217974,3170.2178420388,2288.2000224774,209.3010556197,12150.9826299159,1
572,149,33,284.2399276259,534.4082633053,208.3250405425,166.8344645551,18203.1500546484,35746.6830277863,12490.1585993105,10013.2385477782,210.6056706822,14865.2683010721,1
1213,232,90,360.2597538083,658.2922824302,358.8328957497,88.4995835077,54005.4174512654,93184.2468788282,58842.7535181408,13713.7635051902,300.2105875014,48702.8146546782,1
766,49,37,76.1115902692,115.8213650957,74.4569836482,38.0564220638,4703.4761494666,7041.1641716685,4511.5435419451,2557.7207347863,60.3992651711,3836.8342434274,1
205,153,14,733.6664152841,1561.8055555556,715.9926470588,106.6176470588,49776.5287718070,112523.2048838050,42749.1079152249,6501.4057093426,484.4038928262,36894.1735172247,1
1174,103,55,139.0472227701,262.8789193740,114.0150504646,40.2476984718,8960.6885132821,17752.1758276909,6781.4121233765,2348.4775887788,116.0586593231,9808.6372963437,0
1469,120,67,119.7208396841,264.9695484254,44.8601506718,49.3328199550,7711.1666829324,16614.9222302805,3555.2216966107,2963.3561219058,149.2791927845,10008.3179827665,1
1519,40,36,153.8066362813,214.3716577540,219.9987718982,55.0143221519,9298.1685257027,12772.7698699801,13504.0797168200,3308.2320858904,134.1894718314,8593.4295163546,1
513,136,54,348.5439226998,566.9934640523,366.8300653595,152.8134060642,49068.4129997735,79076.5380226164,51326.3175640627,22575.1378832029,213.2276926316,31611.0369745506,1
2109,222,105,125.8113227045,149.8025809911,168.0099000384,67.0221531254,7576.9803102269,9119.8139700355,10129.0579148166,3927.7737699596,87.1306242649,5458.6607232295,1
635,128,55,307.7315730775,612.4338624339,213.7281592223,97.0326975762,42712.7935344087,86351.5159150080,29338.2679330421,12448.5967551761,263.2595311484,39754.9718233333,1
